start_time : 2024_11_17_13:14:26
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-17-13-14__dual_annealing__.txt
method : dual_annealing
args : (6, 4, 1, 2)
paras_init : array([ 9.6825, -1.248 , -6.6065, -3.8342])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 17:13:14:26, [9.6825,-1.248,-6.6065,-3.8342], 188.425313
54, 17:13:14:29, [6.636277639068835,6.291660739298091,0.6327376283295277,0.8338843598498415], 22.789149
55, 17:13:14:29, [6.636277649068835,6.291660739298091,0.6327376283295277,0.8338843598498415], 22.789149
56, 17:13:14:29, [6.636277639068835,6.291660749298091,0.6327376283295277,0.8338843598498415], 22.789149
57, 17:13:14:29, [6.636277639068835,6.291660739298091,0.6327376383295278,0.8338843598498415], 22.789149
58, 17:13:14:29, [6.636277639068835,6.291660739298091,0.6327376283295277,0.8338843698498416], 22.789149
59, 17:13:14:29, [6.68688664326422,6.2817221788045,0.6453234203734244,0.8360160973003172], 22.775253
60, 17:13:14:29, [6.68688665326422,6.2817221788045,0.6453234203734244,0.8360160973003172], 22.775253
61, 17:13:14:29, [6.68688664326422,6.2817221888045,0.6453234203734244,0.8360160973003172], 22.775253
62, 17:13:14:29, [6.68688664326422,6.2817221788045,0.6453234303734244,0.8360160973003172], 22.775253
63, 17:13:14:29, [6.68688664326422,6.2817221788045,0.6453234203734244,0.8360161073003173], 22.775253
64, 17:13:14:29, [6.685239952778721,6.282628400411304,0.6463695084437752,0.839095021300551], 22.775197
65, 17:13:14:29, [6.685239962778721,6.282628400411304,0.6463695084437752,0.839095021300551], 22.775197
66, 17:13:14:29, [6.685239952778721,6.282628410411304,0.6463695084437752,0.839095021300551], 22.775197
67, 17:13:14:29, [6.685239952778721,6.282628400411304,0.6463695184437752,0.839095021300551], 22.775197
68, 17:13:14:29, [6.685239952778721,6.282628400411304,0.6463695084437752,0.8390950313005511], 22.775197
69, 17:13:14:29, [6.6852796490901545,6.282525270634912,0.6462155293573131,0.8386882699876455], 22.775196
70, 17:13:14:29, [6.685279659090154,6.282525270634912,0.6462155293573131,0.8386882699876455], 22.775196
71, 17:13:14:29, [6.6852796490901545,6.282525280634912,0.6462155293573131,0.8386882699876455], 22.775196
72, 17:13:14:29, [6.6852796490901545,6.282525270634912,0.6462155393573131,0.8386882699876455], 22.775196
73, 17:13:14:29, [6.6852796490901545,6.282525270634912,0.6462155293573131,0.8386882799876455], 22.775196
74, 17:13:14:29, [6.685284045915462,6.282528700961772,0.6462140759145747,0.8386900453248644], 22.775196
75, 17:13:14:30, [6.685284055915462,6.282528700961772,0.6462140759145747,0.8386900453248644], 22.775196
76, 17:13:14:30, [6.685284045915462,6.282528710961772,0.6462140759145747,0.8386900453248644], 22.775196
77, 17:13:14:30, [6.685284045915462,6.282528700961772,0.6462140859145747,0.8386900453248644], 22.775196
78, 17:13:14:30, [6.685284045915462,6.282528700961772,0.6462140759145747,0.8386900553248644], 22.775196
79, 17:13:14:30, [-5.681994900107384,-2.865035817027092,-8.501350440084934,-8.308874472975731], 443.065766
80, 17:13:14:30, [-7.199544697999954,-7.602300047874451,6.761385336518288,6.95386129617691], 399.415286
81, 17:13:14:30, [-1.7829058691859245,1.3247628435492516,-7.821975838392973,-4.119075812399387], 235.380861
82, 17:13:14:30, [0.6202244609594345,0.21746911853551865,-4.126662507653236,-3.934186540544033], 138.198236
83, 17:13:14:30, [1.9517059922218323,0.21746911853551865,-4.126662507653236,-3.934186540544033], 132.622847
84, 17:13:14:30, [1.9517059922218323,-7.591303616762161,-4.126662507653236,-3.934186540544033], 263.237451
85, 17:13:14:30, [1.9517059922218323,-7.591303616762161,-9.46841475367546,-3.934186540544033], 353.366129
86, 17:13:14:30, [1.9517059922218323,-7.591303616762161,-9.46841475367546,-7.820894866716117], 417.098925
87, 17:13:14:30, [-8.175619684159756,2.9688135981559753,0.4042595699429512,-4.527232930064201], 294.324303
88, 17:13:14:30, [-4.962381273508072,6.1820520013570786,3.617497980594635,8.005075111985207], 208.005052
89, 17:13:14:30, [-7.429520722478628,0.39089974015951157,1.1503585316240788,5.53793566301465], 237.359927
90, 17:13:14:30, [-1.1505281887948513,-8.264635195955634,-3.593923181295395,-2.2576955258846283], 309.671769
91, 17:13:14:30, [-7.62333844602108,0.39089974015951157,1.1503585316240788,5.53793566301465], 244.210282
92, 17:13:14:30, [-7.429520722478628,-9.766393397003412,1.1503585316240788,5.53793566301465], 427.538151
93, 17:13:14:30, [-7.429520722478628,0.39089974015951157,9.854846369475126,5.53793566301465], 331.321160
94, 17:13:14:30, [-7.429520722478628,0.39089974015951157,1.1503585316240788,-9.918115369975567], 373.299327
95, 17:13:14:30, [-6.207481697201729,-2.3062332943081856,-1.5467745065689087,2.840802624821663], 254.596639
96, 17:13:14:30, [-1.8519811145961285,1.6163500249385834,-8.091082893311977,-3.703505761921406], 242.481461
97, 17:13:14:31, [-1.1068217158317566,-7.154201835393906,-7.345923490822315,-8.53454322181642], 411.798072
98, 17:13:14:31, [4.159722653217614,6.190891098231077,-3.5165418200194836,5.489950370974839], 92.900819
99, 17:13:14:31, [6.364193938672543,6.190891098231077,-3.5165418200194836,5.489950370974839], 74.408044
100, 17:13:14:31, [6.364193938672543,-9.859265863895416,-3.5165418200194836,5.489950370974839], 273.088082
101, 17:13:14:31, [6.364193938672543,6.190891098231077,6.296920746564865,5.489950370974839], 69.733677
102, 17:13:14:31, [6.364193938672543,6.190891098231077,6.296920746564865,-0.32815737277269363], 59.424350
103, 17:13:14:31, [7.286059342324734,2.165919778868556,0.5090043321251869,-4.337511256337166], 75.838766
104, 17:13:14:31, [-0.6015012226998806,2.479502946138382,0.8225874900817871,-1.276113599538803], 98.186193
105, 17:13:14:31, [3.7633655071258545,-1.3567740619182587,-3.0136895179748535,-7.860205098986626], 218.828543
106, 17:13:14:31, [-3.50018110871315,5.60234659910202,9.722763895988464,5.71965067833662], 237.737326
107, 17:13:14:31, [1.2610073164105415,2.165919778868556,0.5090043321251869,-4.337511256337166], 97.826788
108, 17:13:14:31, [7.286059342324734,8.639993876218796,0.5090043321251869,-4.337511256337166], 95.619123
109, 17:13:14:31, [7.286059342324734,8.639993876218796,-0.9317048788070679,-4.337511256337166], 106.990656
110, 17:13:14:31, [7.286059342324734,8.639993876218796,-0.9317048788070679,-5.322189249098301], 114.166577
111, 17:13:14:31, [1.8526422157883644,-3.4395637065172195,-6.365122005343437,-8.29508513212204], 284.356778
112, 17:13:14:31, [-0.3681753478012979,-1.7412091866135597,-2.956740254536271,8.184004306793213], 181.998071
113, 17:13:14:31, [-6.172029085457325,-9.792655423283577,-3.9086297545582056,-7.412418761639856], 499.570487
114, 17:13:14:31, [-6.917534542270005,8.41648604720831,-2.172859914600849,2.144434727728367], 249.272400
115, 17:13:14:31, [-6.3248245269060135,8.639993876218796,-0.9317048788070679,-5.322189249098301], 265.117404
116, 17:13:14:31, [7.286059342324734,-5.174396149814129,-0.9317048788070679,-5.322189249098301], 167.618895
117, 17:13:14:31, [7.286059342324734,8.639993876218796,-7.21617383370176,-5.322189249098301], 177.951538
118, 17:13:14:31, [7.286059342324734,8.639993876218796,-0.9317048788070679,9.412275426089764], 130.531565
119, 17:13:14:31, [-7.657765816897154,-0.4503288213163614,-9.23946801200509,-5.865111045539379], 419.082344
120, 17:13:14:32, [-5.889015257358551,-4.344695661449805,9.033529862761497,-1.8998034037649632], 340.235559
121, 17:13:14:32, [9.599288810044527,2.0273611582815647,-8.097836238099262,2.211971465498209], 161.489036
122, 17:13:14:32, [-3.8515857942402363,8.008433371782303,2.4143930599093437,5.048824574798346], 175.809441
123, 17:13:14:32, [2.227618671953678,8.639993876218796,-0.9317048788070679,-5.322189249098301], 135.269898
124, 17:13:14:32, [7.286059342324734,-6.562847450375557,-0.9317048788070679,-5.322189249098301], 196.642259
125, 17:13:14:32, [7.286059342324734,8.639993876218796,8.960997328162193,-5.322189249098301], 178.877940
126, 17:13:14:32, [7.286059342324734,8.639993876218796,-0.9317048788070679,-1.623351288959384], 86.488135
127, 17:13:14:32, [5.540199558716267,-4.49805043078959,-4.109318159520626,3.149469470605254], 150.298345
128, 17:13:14:32, [-8.209713581949472,9.37600248400122,-1.8529974222183228,-1.5323281123601191], 323.884396
129, 17:13:14:32, [-3.243247078731656,-7.653960522264242,-6.348833650350571,-2.9802108854055405], 358.769677
130, 17:13:14:32, [6.284100525081158,9.91492923349142,1.232430636882782,-0.34841593354940414], 77.999435
131, 17:13:14:32, [-8.94525895267725,9.91492923349142,1.232430636882782,-0.34841593354940414], 317.015557
132, 17:13:14:32, [6.284100525081158,-3.223475404083729,1.232430636882782,-0.34841593354940414], 93.497859
133, 17:13:14:32, [6.284100525081158,9.91492923349142,-6.50650991499424,-0.34841593354940414], 134.959993
134, 17:13:14:32, [6.284100525081158,9.91492923349142,1.232430636882782,0.17267633974552155], 73.156508
135, 17:13:14:32, [-4.206846971064806,1.583173505961895,-2.24957781098783,0.20715884864330292], 166.909936
136, 17:13:14:32, [2.962898775935173,-7.835963219404221,3.48153817653656,2.251160354586318], 223.586530
137, 17:13:14:32, [-7.8172454833984375,0.5155622955644503,7.131084620952606,1.9545400440692902], 274.688888
138, 17:13:14:32, [-7.931703759277298,-0.19385856669396162,-9.916154399514198,-6.516316349618137], 448.513480
139, 17:13:14:32, [1.9607256315648556,9.91492923349142,1.232430636882782,0.17267633974552155], 95.143862
140, 17:13:14:32, [6.284100525081158,1.7513875141739845,1.232430636882782,0.17267633974552155], 31.519431
141, 17:13:14:32, [6.284100525081158,1.7513875141739845,0.3553957073017955,0.17267633974552155], 30.222948
142, 17:13:14:32, [6.284100525081158,1.7513875141739845,0.3553957073017955,0.053417086601257324], 31.115999
143, 17:13:14:32, [9.186975255608559,-0.04023459553718567,3.2582704350352287,-2.3753741908585653], 113.704124
144, 17:13:14:32, [-4.592185841174796,8.44552255794406,-4.040110722184181,-4.342089340090752], 241.453057
145, 17:13:14:32, [-0.3903395086526871,-4.92305251955986,7.280282247811556,-7.05039132386446], 269.114267
146, 17:13:14:32, [3.0573008991777897,-1.5536934453994036,-4.868421022954863,-5.9581486359238625], 182.594769
147, 17:13:14:33, [-3.293172597885132,1.7513875141739845,0.3553957073017955,0.053417086601257324], 131.073522
148, 17:13:14:33, [6.284100525081158,-8.252766147255898,0.3553957073017955,0.053417086601257324], 186.385626
149, 17:13:14:33, [6.284100525081158,1.7513875141739845,9.240101665258408,0.053417086601257324], 113.217534
150, 17:13:14:33, [6.284100525081158,1.7513875141739845,0.3553957073017955,-1.3274781852960587], 48.539535
151, 17:13:14:33, [6.685284045915462,6.282528700961772,0.6462140759145747,0.8386900453248644], 22.775196
