start_time : 2024_11_18_14:43:45
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-43__direct__.txt
method : direct
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:43:46, [0.0,0.0,0.0,0.0], -372.071029
33, 18:14:43:47, [-6.666666666666666,6.666666666666665,0.0,6.666666666666665], -289.842918
34, 18:14:43:47, [-6.666666666666666,6.666666666666665,0.0,-6.666666666666666], -238.670151
35, 18:14:43:47, [0.0,6.666666666666665,-6.666666666666666,6.666666666666665], -436.509584
36, 18:14:43:47, [0.0,6.666666666666665,-6.666666666666666,-6.666666666666666], -385.336818
37, 18:14:43:47, [8.88888888888889,6.666666666666665,-6.666666666666666,0.0], -472.133255
38, 18:14:43:47, [4.444444444444442,6.666666666666665,-6.666666666666666,0.0], -485.452370
39, 18:14:43:47, [6.666666666666665,8.88888888888889,-6.666666666666666,0.0], -481.022144
40, 18:14:43:47, [6.666666666666665,4.444444444444442,-6.666666666666666,0.0], -476.563481
41, 18:14:43:47, [6.666666666666665,6.666666666666665,-4.444444444444445,0.0], -482.167721
42, 18:14:43:47, [6.666666666666665,6.666666666666665,-8.88888888888889,0.0], -468.476778
43, 18:14:43:47, [6.666666666666665,6.666666666666665,-6.666666666666666,2.222222222222223], -483.035795
44, 18:14:43:47, [6.666666666666665,6.666666666666665,-6.666666666666666,-2.2222222222222223], -469.850080
45, 18:14:43:47, [6.666666666666665,-6.666666666666666,6.666666666666665,0.0], -143.176251
46, 18:14:43:47, [6.666666666666665,-6.666666666666666,-6.666666666666666,0.0], -278.670151
47, 18:14:43:47, [6.666666666666665,-6.666666666666666,0.0,6.666666666666665], -236.509584
48, 18:14:43:47, [6.666666666666665,-6.666666666666666,0.0,-6.666666666666666], -185.336818
49, 18:14:43:48, [6.666666666666665,0.0,-6.666666666666666,6.666666666666665], -409.842918
50, 18:14:43:48, [6.666666666666665,0.0,-6.666666666666666,-6.666666666666666], -358.670151
51, 18:14:43:48, [8.88888888888889,6.666666666666665,-6.666666666666666,6.666666666666665], -452.892585
52, 18:14:43:48, [4.444444444444442,6.666666666666665,-6.666666666666666,6.666666666666665], -466.211700
53, 18:14:43:48, [6.666666666666665,8.88888888888889,-6.666666666666666,6.666666666666665], -461.781473
54, 18:14:43:48, [6.666666666666665,4.444444444444442,-6.666666666666666,6.666666666666665], -457.322811
55, 18:14:43:48, [6.666666666666665,6.666666666666665,-4.444444444444445,6.666666666666665], -462.927050
56, 18:14:43:48, [6.666666666666665,6.666666666666665,-8.88888888888889,6.666666666666665], -449.236107
57, 18:14:43:48, [6.666666666666665,6.666666666666665,-6.666666666666666,8.88888888888889], -435.114807
58, 18:14:43:48, [6.666666666666665,6.666666666666665,-6.666666666666666,4.444444444444442], -483.989477
59, 18:14:43:48, [4.444444444444442,8.88888888888889,-6.666666666666666,0.0], -476.631596
60, 18:14:43:48, [4.444444444444442,4.444444444444442,-6.666666666666666,0.0], -472.172933
61, 18:14:43:48, [4.444444444444442,6.666666666666665,-4.444444444444445,0.0], -477.777173
62, 18:14:43:48, [4.444444444444442,6.666666666666665,-8.88888888888889,0.0], -464.086230
63, 18:14:43:48, [4.444444444444442,6.666666666666665,-6.666666666666666,2.222222222222223], -478.645247
64, 18:14:43:48, [4.444444444444442,6.666666666666665,-6.666666666666666,-2.2222222222222223], -465.459532
65, 18:14:43:48, [-6.666666666666666,0.0,6.666666666666665,0.0], -135.750255
66, 18:14:43:48, [-6.666666666666666,0.0,-6.666666666666666,0.0], -271.244155
67, 18:14:43:48, [-6.666666666666666,0.0,0.0,6.666666666666665], -229.083588
68, 18:14:43:48, [-6.666666666666666,0.0,0.0,-6.666666666666666], -177.910821
69, 18:14:43:48, [0.0,0.0,-6.666666666666666,6.666666666666665], -375.750255
70, 18:14:43:48, [0.0,0.0,-6.666666666666666,-6.666666666666666], -324.577488
71, 18:14:43:48, [8.88888888888889,6.666666666666665,0.0,0.0], -449.213359
72, 18:14:43:48, [4.444444444444442,6.666666666666665,0.0,0.0], -462.532474
73, 18:14:43:48, [6.666666666666665,8.88888888888889,0.0,0.0], -458.102248
74, 18:14:43:48, [6.666666666666665,4.444444444444442,0.0,0.0], -453.643585
75, 18:14:43:48, [6.666666666666665,6.666666666666665,2.222222222222223,0.0], -429.004788
76, 18:14:43:48, [6.666666666666665,6.666666666666665,-2.2222222222222223,0.0], -478.041295
77, 18:14:43:49, [6.666666666666665,6.666666666666665,0.0,2.222222222222223], -460.115899
78, 18:14:43:49, [6.666666666666665,6.666666666666665,0.0,-2.2222222222222223], -446.930184
79, 18:14:43:49, [8.88888888888889,6.666666666666665,-6.666666666666666,4.444444444444442], -466.279815
80, 18:14:43:49, [4.444444444444442,6.666666666666665,-6.666666666666666,4.444444444444442], -479.598930
81, 18:14:43:49, [6.666666666666665,8.88888888888889,-6.666666666666666,4.444444444444442], -475.168703
82, 18:14:43:49, [6.666666666666665,4.444444444444442,-6.666666666666666,4.444444444444442], -470.710041
83, 18:14:43:49, [6.666666666666665,6.666666666666665,-4.444444444444445,4.444444444444442], -476.314280
84, 18:14:43:49, [6.666666666666665,6.666666666666665,-8.88888888888889,4.444444444444442], -462.623337
85, 18:14:43:49, [-6.666666666666666,-6.666666666666666,6.666666666666665,0.0], 14.663182
86, 18:14:43:49, [-6.666666666666666,-6.666666666666666,-6.666666666666666,0.0], -120.830718
87, 18:14:43:49, [-6.666666666666666,-6.666666666666666,0.0,6.666666666666665], -78.670151
88, 18:14:43:49, [-6.666666666666666,-6.666666666666666,0.0,-6.666666666666666], -27.497384
89, 18:14:43:49, [6.666666666666665,6.666666666666665,6.666666666666665,6.666666666666665], -335.108347
90, 18:14:43:49, [6.666666666666665,6.666666666666665,6.666666666666665,-6.666666666666666], -283.935581
91, 18:14:43:49, [2.222222222222223,6.666666666666665,-6.666666666666666,0.0], -466.720910
92, 18:14:43:49, [-2.2222222222222223,6.666666666666665,-6.666666666666666,0.0], -417.979639
93, 18:14:43:49, [0.0,8.88888888888889,-6.666666666666666,0.0], -446.929481
94, 18:14:43:49, [0.0,4.444444444444442,-6.666666666666666,0.0], -442.470818
95, 18:14:43:49, [0.0,6.666666666666665,-4.444444444444445,0.0], -448.075058
96, 18:14:43:49, [0.0,6.666666666666665,-8.88888888888889,0.0], -434.384115
97, 18:14:43:49, [0.0,6.666666666666665,-6.666666666666666,2.222222222222223], -448.943132
98, 18:14:43:49, [0.0,6.666666666666665,-6.666666666666666,-2.2222222222222223], -435.757417
99, 18:14:43:49, [8.88888888888889,6.666666666666665,-2.2222222222222223,0.0], -460.331632
100, 18:14:43:49, [4.444444444444442,6.666666666666665,-2.2222222222222223,0.0], -473.650747
101, 18:14:43:49, [6.666666666666665,8.88888888888889,-2.2222222222222223,0.0], -469.220521
102, 18:14:43:49, [6.666666666666665,4.444444444444442,-2.2222222222222223,0.0], -464.761858
103, 18:14:43:49, [6.666666666666665,6.666666666666665,-2.2222222222222223,2.222222222222223], -471.234172
104, 18:14:43:49, [6.666666666666665,6.666666666666665,-2.2222222222222223,-2.2222222222222223], -458.048457
105, 18:14:43:49, [-6.666666666666666,6.666666666666665,-6.666666666666666,6.666666666666665], -312.762814
106, 18:14:43:50, [-6.666666666666666,6.666666666666665,-6.666666666666666,-6.666666666666666], -261.590047
107, 18:14:43:50, [8.88888888888889,6.666666666666665,0.0,6.666666666666665], -429.972688
108, 18:14:43:50, [4.444444444444442,6.666666666666665,0.0,6.666666666666665], -443.291803
109, 18:14:43:50, [6.666666666666665,8.88888888888889,0.0,6.666666666666665], -438.861577
110, 18:14:43:50, [6.666666666666665,4.444444444444442,0.0,6.666666666666665], -434.402915
111, 18:14:43:50, [6.666666666666665,6.666666666666665,2.222222222222223,6.666666666666665], -409.764117
112, 18:14:43:50, [6.666666666666665,6.666666666666665,-2.2222222222222223,6.666666666666665], -458.800624
113, 18:14:43:50, [6.666666666666665,6.666666666666665,0.0,8.88888888888889], -412.194911
114, 18:14:43:50, [6.666666666666665,6.666666666666665,0.0,4.444444444444442], -461.069581
115, 18:14:43:50, [8.88888888888889,8.88888888888889,-6.666666666666666,0.0], -463.312481
116, 18:14:43:50, [8.88888888888889,4.444444444444442,-6.666666666666666,0.0], -458.853818
117, 18:14:43:50, [8.88888888888889,6.666666666666665,-4.444444444444445,0.0], -464.458058
118, 18:14:43:50, [8.88888888888889,6.666666666666665,-8.88888888888889,0.0], -450.767115
119, 18:14:43:50, [8.88888888888889,6.666666666666665,-6.666666666666666,2.222222222222223], -465.326132
120, 18:14:43:50, [8.88888888888889,6.666666666666665,-6.666666666666666,-2.2222222222222223], -452.140417
121, 18:14:43:50, [6.666666666666665,8.88888888888889,-6.666666666666666,2.222222222222223], -474.215021
122, 18:14:43:50, [6.666666666666665,4.444444444444442,-6.666666666666666,2.222222222222223], -469.756358
123, 18:14:43:50, [6.666666666666665,6.666666666666665,-4.444444444444445,2.222222222222223], -475.360598
124, 18:14:43:50, [6.666666666666665,6.666666666666665,-8.88888888888889,2.222222222222223], -461.669655
125, 18:14:43:50, [6.666666666666664,6.666666666666664,-6.666666666666666,0.0], -489.842918
