start_time : 2024_11_17_14:23:10
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-17-14-23__AdamW__.txt
method : AdamW
args : (6.0, 4.0, 1.0, 2.0)
paras_init : tensor([3., 0., 4., 2.])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 100
form : rounds, time, parameters, cost 


0, 17:14:23:13, [tensor(3., grad_fn=<UnbindBackward0>),tensor(0., grad_fn=<UnbindBackward0>),tensor(4., grad_fn=<UnbindBackward0>),tensor(2., grad_fn=<UnbindBackward0>)], 88.313934
62, 17:14:23:16, [tensor(6.0587, grad_fn=<UnbindBackward0>),tensor(1.3048, grad_fn=<UnbindBackward0>),tensor(1.0299, grad_fn=<UnbindBackward0>),tensor(0.8327, grad_fn=<UnbindBackward0>)], 28.448032
63, 17:14:23:16, [tensor(6.0944, grad_fn=<UnbindBackward0>),tensor(1.3018, grad_fn=<UnbindBackward0>),tensor(1.0021, grad_fn=<UnbindBackward0>),tensor(0.8366, grad_fn=<UnbindBackward0>)], 28.135118
64, 17:14:23:16, [tensor(6.1292, grad_fn=<UnbindBackward0>),tensor(1.2987, grad_fn=<UnbindBackward0>),tensor(0.9753, grad_fn=<UnbindBackward0>),tensor(0.8401, grad_fn=<UnbindBackward0>)], 27.848787
65, 17:14:23:16, [tensor(6.1630, grad_fn=<UnbindBackward0>),tensor(1.2955, grad_fn=<UnbindBackward0>),tensor(0.9495, grad_fn=<UnbindBackward0>),tensor(0.8432, grad_fn=<UnbindBackward0>)], 27.587908
66, 17:14:23:16, [tensor(6.1959, grad_fn=<UnbindBackward0>),tensor(1.2924, grad_fn=<UnbindBackward0>),tensor(0.9247, grad_fn=<UnbindBackward0>),tensor(0.8460, grad_fn=<UnbindBackward0>)], 27.351269
67, 17:14:23:16, [tensor(6.2277, grad_fn=<UnbindBackward0>),tensor(1.2894, grad_fn=<UnbindBackward0>),tensor(0.9010, grad_fn=<UnbindBackward0>),tensor(0.8484, grad_fn=<UnbindBackward0>)], 27.137627
68, 17:14:23:16, [tensor(6.2585, grad_fn=<UnbindBackward0>),tensor(1.2863, grad_fn=<UnbindBackward0>),tensor(0.8782, grad_fn=<UnbindBackward0>),tensor(0.8504, grad_fn=<UnbindBackward0>)], 26.945662
69, 17:14:23:16, [tensor(6.2882, grad_fn=<UnbindBackward0>),tensor(1.2834, grad_fn=<UnbindBackward0>),tensor(0.8565, grad_fn=<UnbindBackward0>),tensor(0.8521, grad_fn=<UnbindBackward0>)], 26.774055
70, 17:14:23:16, [tensor(6.3169, grad_fn=<UnbindBackward0>),tensor(1.2805, grad_fn=<UnbindBackward0>),tensor(0.8358, grad_fn=<UnbindBackward0>),tensor(0.8534, grad_fn=<UnbindBackward0>)], 26.621449
71, 17:14:23:16, [tensor(6.3430, grad_fn=<UnbindBackward0>),tensor(1.2778, grad_fn=<UnbindBackward0>),tensor(0.8171, grad_fn=<UnbindBackward0>),tensor(0.8544, grad_fn=<UnbindBackward0>)], 26.492975
72, 17:14:23:16, [tensor(6.3682, grad_fn=<UnbindBackward0>),tensor(1.2752, grad_fn=<UnbindBackward0>),tensor(0.7993, grad_fn=<UnbindBackward0>),tensor(0.8551, grad_fn=<UnbindBackward0>)], 26.379482
73, 17:14:23:16, [tensor(6.3923, grad_fn=<UnbindBackward0>),tensor(1.2727, grad_fn=<UnbindBackward0>),tensor(0.7825, grad_fn=<UnbindBackward0>),tensor(0.8555, grad_fn=<UnbindBackward0>)], 26.279747
74, 17:14:23:16, [tensor(6.4153, grad_fn=<UnbindBackward0>),tensor(1.2703, grad_fn=<UnbindBackward0>),tensor(0.7666, grad_fn=<UnbindBackward0>),tensor(0.8556, grad_fn=<UnbindBackward0>)], 26.192598
75, 17:14:23:17, [tensor(6.4372, grad_fn=<UnbindBackward0>),tensor(1.2681, grad_fn=<UnbindBackward0>),tensor(0.7517, grad_fn=<UnbindBackward0>),tensor(0.8556, grad_fn=<UnbindBackward0>)], 26.116913
76, 17:14:23:17, [tensor(6.4582, grad_fn=<UnbindBackward0>),tensor(1.2659, grad_fn=<UnbindBackward0>),tensor(0.7376, grad_fn=<UnbindBackward0>),tensor(0.8553, grad_fn=<UnbindBackward0>)], 26.051590
77, 17:14:23:17, [tensor(6.4780, grad_fn=<UnbindBackward0>),tensor(1.2639, grad_fn=<UnbindBackward0>),tensor(0.7243, grad_fn=<UnbindBackward0>),tensor(0.8548, grad_fn=<UnbindBackward0>)], 25.995602
78, 17:14:23:17, [tensor(6.4969, grad_fn=<UnbindBackward0>),tensor(1.2620, grad_fn=<UnbindBackward0>),tensor(0.7120, grad_fn=<UnbindBackward0>),tensor(0.8542, grad_fn=<UnbindBackward0>)], 25.947968
79, 17:14:23:17, [tensor(6.5147, grad_fn=<UnbindBackward0>),tensor(1.2602, grad_fn=<UnbindBackward0>),tensor(0.7004, grad_fn=<UnbindBackward0>),tensor(0.8534, grad_fn=<UnbindBackward0>)], 25.907768
80, 17:14:23:17, [tensor(6.5315, grad_fn=<UnbindBackward0>),tensor(1.2586, grad_fn=<UnbindBackward0>),tensor(0.6897, grad_fn=<UnbindBackward0>),tensor(0.8525, grad_fn=<UnbindBackward0>)], 25.874138
81, 17:14:23:17, [tensor(6.5465, grad_fn=<UnbindBackward0>),tensor(1.2571, grad_fn=<UnbindBackward0>),tensor(0.6802, grad_fn=<UnbindBackward0>),tensor(0.8515, grad_fn=<UnbindBackward0>)], 25.847580
82, 17:14:23:17, [tensor(6.5605, grad_fn=<UnbindBackward0>),tensor(1.2558, grad_fn=<UnbindBackward0>),tensor(0.6715, grad_fn=<UnbindBackward0>),tensor(0.8505, grad_fn=<UnbindBackward0>)], 25.825642
83, 17:14:23:17, [tensor(6.5737, grad_fn=<UnbindBackward0>),tensor(1.2545, grad_fn=<UnbindBackward0>),tensor(0.6634, grad_fn=<UnbindBackward0>),tensor(0.8494, grad_fn=<UnbindBackward0>)], 25.807709
84, 17:14:23:17, [tensor(6.5860, grad_fn=<UnbindBackward0>),tensor(1.2534, grad_fn=<UnbindBackward0>),tensor(0.6560, grad_fn=<UnbindBackward0>),tensor(0.8482, grad_fn=<UnbindBackward0>)], 25.793209
85, 17:14:23:17, [tensor(6.5974, grad_fn=<UnbindBackward0>),tensor(1.2524, grad_fn=<UnbindBackward0>),tensor(0.6492, grad_fn=<UnbindBackward0>),tensor(0.8471, grad_fn=<UnbindBackward0>)], 25.781647
86, 17:14:23:17, [tensor(6.6080, grad_fn=<UnbindBackward0>),tensor(1.2515, grad_fn=<UnbindBackward0>),tensor(0.6431, grad_fn=<UnbindBackward0>),tensor(0.8459, grad_fn=<UnbindBackward0>)], 25.772564
87, 17:14:23:17, [tensor(6.6177, grad_fn=<UnbindBackward0>),tensor(1.2507, grad_fn=<UnbindBackward0>),tensor(0.6375, grad_fn=<UnbindBackward0>),tensor(0.8447, grad_fn=<UnbindBackward0>)], 25.765549
88, 17:14:23:17, [tensor(6.6267, grad_fn=<UnbindBackward0>),tensor(1.2501, grad_fn=<UnbindBackward0>),tensor(0.6325, grad_fn=<UnbindBackward0>),tensor(0.8436, grad_fn=<UnbindBackward0>)], 25.760250
89, 17:14:23:17, [tensor(6.6349, grad_fn=<UnbindBackward0>),tensor(1.2495, grad_fn=<UnbindBackward0>),tensor(0.6280, grad_fn=<UnbindBackward0>),tensor(0.8424, grad_fn=<UnbindBackward0>)], 25.756351
90, 17:14:23:17, [tensor(6.6424, grad_fn=<UnbindBackward0>),tensor(1.2490, grad_fn=<UnbindBackward0>),tensor(0.6240, grad_fn=<UnbindBackward0>),tensor(0.8413, grad_fn=<UnbindBackward0>)], 25.753584
91, 17:14:23:17, [tensor(6.6489, grad_fn=<UnbindBackward0>),tensor(1.2486, grad_fn=<UnbindBackward0>),tensor(0.6206, grad_fn=<UnbindBackward0>),tensor(0.8403, grad_fn=<UnbindBackward0>)], 25.751778
92, 17:14:23:17, [tensor(6.6548, grad_fn=<UnbindBackward0>),tensor(1.2483, grad_fn=<UnbindBackward0>),tensor(0.6177, grad_fn=<UnbindBackward0>),tensor(0.8394, grad_fn=<UnbindBackward0>)], 25.750597
93, 17:14:23:17, [tensor(6.6600, grad_fn=<UnbindBackward0>),tensor(1.2480, grad_fn=<UnbindBackward0>),tensor(0.6151, grad_fn=<UnbindBackward0>),tensor(0.8385, grad_fn=<UnbindBackward0>)], 25.749891
94, 17:14:23:17, [tensor(6.6647, grad_fn=<UnbindBackward0>),tensor(1.2478, grad_fn=<UnbindBackward0>),tensor(0.6130, grad_fn=<UnbindBackward0>),tensor(0.8377, grad_fn=<UnbindBackward0>)], 25.749531
95, 17:14:23:17, [tensor(6.6688, grad_fn=<UnbindBackward0>),tensor(1.2477, grad_fn=<UnbindBackward0>),tensor(0.6111, grad_fn=<UnbindBackward0>),tensor(0.8369, grad_fn=<UnbindBackward0>)], 25.749407
96, 17:14:23:18, [tensor(6.6725, grad_fn=<UnbindBackward0>),tensor(1.2477, grad_fn=<UnbindBackward0>),tensor(0.6097, grad_fn=<UnbindBackward0>),tensor(0.8362, grad_fn=<UnbindBackward0>)], 25.749439
97, 17:14:23:18, [tensor(6.6756, grad_fn=<UnbindBackward0>),tensor(1.2477, grad_fn=<UnbindBackward0>),tensor(0.6085, grad_fn=<UnbindBackward0>),tensor(0.8356, grad_fn=<UnbindBackward0>)], 25.749552
98, 17:14:23:18, [tensor(6.6783, grad_fn=<UnbindBackward0>),tensor(1.2477, grad_fn=<UnbindBackward0>),tensor(0.6076, grad_fn=<UnbindBackward0>),tensor(0.8351, grad_fn=<UnbindBackward0>)], 25.749699
99, 17:14:23:18, [tensor(6.6806, grad_fn=<UnbindBackward0>),tensor(1.2478, grad_fn=<UnbindBackward0>),tensor(0.6069, grad_fn=<UnbindBackward0>),tensor(0.8346, grad_fn=<UnbindBackward0>)], 25.749828
100, 17:14:23:18, [tensor(6.6825),tensor(1.2480),tensor(0.6065),tensor(0.8342)], 25.749935
