start_time : 2024_11_18_14:39:38
name : labopt_logs\lab_opt_2024_11\optimization__2024-11-18-14-39__shgo__.txt
method : shgo
args : (6, 8, -5, 2)
paras_init : array([3, 0, 4, 2])
bounds : ((-10, 10), (-10, 10), (-10, 10), (-10, 10))
max_run : 10
form : rounds, time, parameters, cost 


0, 18:14:39:38, [10.0,10.0,10.0,-10.0], -76.461393
24, 18:14:39:39, [9.112704901781397,9.99999999,-10.0,1.1127099242003167], -425.523885
25, 18:14:39:39, [9.112704901781397,10.0,-9.99999999,1.1127099242003167], -425.523885
26, 18:14:39:39, [9.112704901781397,10.0,-10.0,1.1127099342003166], -425.523885
27, 18:14:39:39, [6.428653134857001,10.0,-5.966451823049648,-0.6182586275204661], -480.043864
28, 18:14:39:39, [6.428653144857001,10.0,-5.966451823049648,-0.6182586275204661], -480.043864
29, 18:14:39:39, [6.428653134857001,9.99999999,-5.966451823049648,-0.6182586275204661], -480.043864
30, 18:14:39:40, [6.428653134857001,10.0,-5.966451813049648,-0.6182586275204661], -480.043864
31, 18:14:39:40, [6.428653134857001,10.0,-5.966451823049648,-0.6182586175204661], -480.043864
32, 18:14:39:40, [4.741101241360468,10.0,-5.739145079871963,0.5543005332830507], -477.938899
33, 18:14:39:40, [4.741101251360468,10.0,-5.739145079871963,0.5543005332830507], -477.938899
34, 18:14:39:40, [4.741101241360468,9.99999999,-5.739145079871963,0.5543005332830507], -477.938899
35, 18:14:39:40, [4.741101241360468,10.0,-5.739145069871963,0.5543005332830507], -477.938899
36, 18:14:39:40, [4.741101241360468,10.0,-5.739145079871963,0.5543005432830508], -477.938899
37, 18:14:39:40, [5.721439479784334,10.0,-5.871192866400748,-0.12686642020728828], -483.048330
38, 18:14:39:40, [5.721439489784334,10.0,-5.871192866400748,-0.12686642020728828], -483.048330
39, 18:14:39:40, [5.721439479784334,9.99999999,-5.871192866400748,-0.12686642020728828], -483.048330
40, 18:14:39:40, [5.721439479784334,10.0,-5.871192856400748,-0.12686642020728828], -483.048330
41, 18:14:39:40, [5.721439479784334,10.0,-5.871192866400748,-0.12686641020728828], -483.048330
42, 18:14:39:40, [6.126487645511155,10.0,-6.948287521200532,0.6110532011525669], -481.648340
43, 18:14:39:40, [6.126487655511155,10.0,-6.948287521200532,0.6110532011525669], -481.648340
44, 18:14:39:40, [6.126487645511155,9.99999999,-6.948287521200532,0.6110532011525669], -481.648340
45, 18:14:39:40, [6.126487645511155,10.0,-6.948287511200532,0.6110532011525669], -481.648340
46, 18:14:39:40, [6.126487645511155,10.0,-6.948287521200532,0.6110532111525669], -481.648340
47, 18:14:39:40, [5.881405409664252,10.0,-6.296570543928465,0.1645606454989615], -484.093617
48, 18:14:39:40, [5.881405419664252,10.0,-6.296570543928465,0.1645606454989615], -484.093617
49, 18:14:39:40, [5.881405409664252,9.99999999,-6.296570543928465,0.1645606454989615], -484.093617
50, 18:14:39:40, [5.881405409664252,10.0,-6.296570533928465,0.1645606454989615], -484.093617
51, 18:14:39:40, [5.881405409664252,10.0,-6.296570543928465,0.16456065549896148], -484.093617
52, 18:14:39:40, [5.833231834073382,10.0,-6.332456520662445,0.15845049595803176], -484.105114
53, 18:14:39:40, [5.833231844073382,10.0,-6.332456520662445,0.15845049595803176], -484.105114
54, 18:14:39:40, [5.833231834073382,9.99999999,-6.332456520662445,0.15845049595803176], -484.105114
55, 18:14:39:40, [5.833231834073382,10.0,-6.332456510662445,0.15845049595803176], -484.105114
56, 18:14:39:40, [5.833231834073382,10.0,-6.332456520662445,0.15845050595803176], -484.105114
57, 18:14:39:40, [5.836225675165612,10.0,-6.326791399178831,0.1585253621081852], -484.105263
58, 18:14:39:40, [5.836225685165612,10.0,-6.326791399178831,0.1585253621081852], -484.105263
59, 18:14:39:40, [5.836225675165612,9.99999999,-6.326791399178831,0.1585253621081852], -484.105263
60, 18:14:39:41, [5.836225675165612,10.0,-6.326791389178831,0.1585253621081852], -484.105263
61, 18:14:39:41, [5.836225675165612,10.0,-6.326791399178831,0.1585253721081852], -484.105263
62, 18:14:39:41, [5.83632821134932,10.0,-6.326976236499148,0.15856817123907363], -484.105263
63, 18:14:39:41, [5.83632822134932,10.0,-6.326976236499148,0.15856817123907363], -484.105263
64, 18:14:39:41, [5.83632821134932,9.99999999,-6.326976236499148,0.15856817123907363], -484.105263
65, 18:14:39:41, [5.83632821134932,10.0,-6.3269762264991485,0.15856817123907363], -484.105263
66, 18:14:39:41, [5.83632821134932,10.0,-6.326976236499148,0.15856818123907362], -484.105263
67, 18:14:39:41, [0.0,10.0,10.0,-10.0], -64.578429
68, 18:14:39:41, [0.0,0.0,0.0,-10.0], -220.812500
69, 18:14:39:41, [-10.0,0.0,10.0,-10.0], 218.563065
70, 18:14:39:41, [10.0,0.0,10.0,-10.0], -24.578429
71, 18:14:39:41, [10.0,0.0,-10.0,-10.0], -221.436935
72, 18:14:39:41, [10.0,-10.0,0.0,-10.0], 38.563065
73, 18:14:39:41, [0.0,10.0,-10.0,-10.0], -261.436935
74, 18:14:39:41, [0.0,-10.0,0.0,-10.0], 50.446030
75, 18:14:39:41, [-10.0,0.0,-10.0,-10.0], 21.704559
76, 18:14:39:41, [-10.0,-10.0,0.0,-10.0], 281.704559
77, 18:14:39:41, [0.0,10.0,0.0,-10.0], -272.695464
78, 18:14:39:41, [0.0,0.0,10.0,-10.0], -12.695464
79, 18:14:39:41, [0.0,0.0,-10.0,-10.0], -209.553970
80, 18:14:39:41, [10.0,10.0,0.0,-10.0], -284.578429
81, 18:14:39:41, [10.0,0.0,0.0,-10.0], -232.695464
82, 18:14:39:41, [-10.0,10.0,0.0,-10.0], -41.436935
83, 18:14:39:41, [0.0,-10.0,10.0,-10.0], 258.563065
84, 18:14:39:41, [0.0,-10.0,-10.0,-10.0], 61.704559
85, 18:14:39:41, [-10.0,0.0,0.0,-10.0], 10.446030
86, 18:14:39:41, [10.0,10.0,0.0,-10.0], -284.578429
87, 18:14:39:41, [9.99999999,10.0,0.0,-10.0], -284.578429
88, 18:14:39:42, [10.0,9.99999999,0.0,-10.0], -284.578429
89, 18:14:39:42, [10.0,10.0,1e-08,-10.0], -284.578429
90, 18:14:39:42, [10.0,10.0,0.0,-9.99999999], -284.578429
91, 18:14:39:42, [7.288421351807445,10.0,-10.0,10.0], -374.035869
92, 18:14:39:42, [7.288421361807445,10.0,-10.0,10.0], -374.035869
93, 18:14:39:42, [7.288421351807445,9.99999999,-10.0,10.0], -374.035869
94, 18:14:39:42, [7.288421351807445,10.0,-9.99999999,10.0], -374.035869
95, 18:14:39:42, [7.288421351807445,10.0,-10.0,9.99999999], -374.035869
96, 18:14:39:42, [4.532471629109871,10.0,-6.045177200622176,4.699344373790669], -471.773115
97, 18:14:39:42, [4.532471639109871,10.0,-6.045177200622176,4.699344373790669], -471.773115
98, 18:14:39:42, [4.532471629109871,9.99999999,-6.045177200622176,4.699344373790669], -471.773115
99, 18:14:39:42, [4.532471629109871,10.0,-6.045177190622176,4.699344373790669], -471.773115
100, 18:14:39:42, [4.532471629109871,10.0,-6.045177200622176,4.6993443837906685], -471.773115
101, 18:14:39:42, [6.780301202058236,10.0,-6.158211397989504,3.8576620419088288], -473.790831
102, 18:14:39:42, [6.7803012120582355,10.0,-6.158211397989504,3.8576620419088288], -473.790831
103, 18:14:39:42, [6.780301202058236,9.99999999,-6.158211397989504,3.8576620419088288], -473.790831
104, 18:14:39:42, [6.780301202058236,10.0,-6.158211387989504,3.8576620419088288], -473.790831
105, 18:14:39:42, [6.780301202058236,10.0,-6.158211397989504,3.8576620519088287], -473.790831
106, 18:14:39:42, [5.818975834345129,10.0,-6.602700080782706,4.859893317530761], -477.911502
107, 18:14:39:42, [5.818975844345129,10.0,-6.602700080782706,4.859893317530761], -477.911502
108, 18:14:39:42, [5.818975834345129,9.99999999,-6.602700080782706,4.859893317530761], -477.911502
109, 18:14:39:42, [5.818975834345129,10.0,-6.602700070782706,4.859893317530761], -477.911502
110, 18:14:39:42, [5.818975834345129,10.0,-6.602700080782706,4.859893327530761], -477.911502
111, 18:14:39:42, [5.707787535447204,10.0,-6.1402471806332315,4.4309952417725595], -477.959764
112, 18:14:39:42, [5.707787545447204,10.0,-6.1402471806332315,4.4309952417725595], -477.959764
113, 18:14:39:42, [5.707787535447204,9.99999999,-6.1402471806332315,4.4309952417725595], -477.959764
114, 18:14:39:42, [5.707787535447204,10.0,-6.1402471706332316,4.4309952417725595], -477.959764
115, 18:14:39:43, [5.707787535447204,10.0,-6.1402471806332315,4.4309952517725595], -477.959764
116, 18:14:39:43, [5.85182568195815,10.0,-6.322061954560163,4.6391864517807715], -478.278314
117, 18:14:39:43, [5.85182569195815,10.0,-6.322061954560163,4.6391864517807715], -478.278314
118, 18:14:39:43, [5.85182568195815,9.99999999,-6.322061954560163,4.6391864517807715], -478.278314
119, 18:14:39:43, [5.85182568195815,10.0,-6.322061944560163,4.6391864517807715], -478.278314
120, 18:14:39:43, [5.85182568195815,10.0,-6.322061954560163,4.639186461780771], -478.278314
121, 18:14:39:43, [5.8289934663210365,10.0,-6.328799845652529,4.694673320919], -478.282410
122, 18:14:39:43, [5.8289934763210365,10.0,-6.328799845652529,4.694673320919], -478.282410
123, 18:14:39:43, [5.8289934663210365,9.99999999,-6.328799845652529,4.694673320919], -478.282410
124, 18:14:39:43, [5.8289934663210365,10.0,-6.3287998356525295,4.694673320919], -478.282410
125, 18:14:39:43, [5.8289934663210365,10.0,-6.328799845652529,4.694673330919], -478.282410
126, 18:14:39:43, [5.8363817950281565,10.0,-6.326955855410358,4.67937380345883], -478.283169
127, 18:14:39:43, [5.836381805028156,10.0,-6.326955855410358,4.67937380345883], -478.283169
128, 18:14:39:43, [5.8363817950281565,9.99999999,-6.326955855410358,4.67937380345883], -478.283169
129, 18:14:39:43, [5.8363817950281565,10.0,-6.3269558454103585,4.67937380345883], -478.283169
130, 18:14:39:43, [5.8363817950281565,10.0,-6.326955855410358,4.67937381345883], -478.283169
131, 18:14:39:43, [5.836324888237594,10.0,-6.32696938439313,4.679683109523204], -478.283170
132, 18:14:39:43, [5.836324898237594,10.0,-6.32696938439313,4.679683109523204], -478.283170
133, 18:14:39:43, [5.836324888237594,9.99999999,-6.32696938439313,4.679683109523204], -478.283170
134, 18:14:39:43, [5.836324888237594,10.0,-6.32696937439313,4.679683109523204], -478.283170
135, 18:14:39:43, [5.836324888237594,10.0,-6.32696938439313,4.679683119523204], -478.283170
136, 18:14:39:43, [-10.0,0.0,-10.0,10.0], -61.436935
137, 18:14:39:43, [10.0,10.0,-10.0,0.0], -424.578429
138, 18:14:39:43, [0.0,-10.0,-10.0,0.0], -89.553970
139, 18:14:39:43, [-10.0,0.0,-10.0,0.0], -129.553970
140, 18:14:39:43, [-10.0,-10.0,10.0,0.0], 338.563065
141, 18:14:39:43, [-10.0,10.0,-10.0,0.0], -181.436935
142, 18:14:39:43, [0.0,0.0,10.0,10.0], -95.836958
143, 18:14:39:43, [-10.0,-10.0,-10.0,0.0], 141.704559
144, 18:14:39:44, [0.0,-10.0,-10.0,10.0], -21.436935
145, 18:14:39:44, [0.0,0.0,10.0,0.0], -163.953994
146, 18:14:39:44, [0.0,0.0,-10.0,10.0], -292.695464
147, 18:14:39:44, [0.0,0.0,-10.0,0.0], -360.812500
148, 18:14:39:44, [10.0,0.0,-10.0,10.0], -304.578429
149, 18:14:39:44, [10.0,0.0,-10.0,0.0], -372.695464
150, 18:14:39:44, [0.0,10.0,-10.0,10.0], -344.578429
151, 18:14:39:44, [0.0,10.0,-10.0,0.0], -412.695464
152, 18:14:39:44, [10.0,-10.0,-10.0,0.0], -101.436935
153, 18:14:39:44, [10.0,10.0,-10.0,0.0], -424.578429
154, 18:14:39:44, [9.99999999,10.0,-10.0,0.0], -424.578429
155, 18:14:39:44, [10.0,9.99999999,-10.0,0.0], -424.578429
156, 18:14:39:44, [10.0,10.0,-9.99999999,0.0], -424.578429
157, 18:14:39:44, [10.0,10.0,-10.0,1e-08], -424.578429
158, 18:14:39:44, [7.288415667466027,10.0,-0.44312709832134267,1.112709924200317], -456.060502
159, 18:14:39:44, [7.288415677466027,10.0,-0.44312709832134267,1.112709924200317], -456.060502
160, 18:14:39:44, [7.288415667466027,9.99999999,-0.44312709832134267,1.112709924200317], -456.060502
161, 18:14:39:44, [7.288415667466027,10.0,-0.4431270883213427,1.112709924200317], -456.060502
162, 18:14:39:44, [7.288415667466027,10.0,-0.44312709832134267,1.1127099342003168], -456.060502
163, 18:14:39:44, [5.467203807636034,10.0,-3.360501593654442,0.03763402243460571], -471.426669
164, 18:14:39:44, [5.467203817636034,10.0,-3.360501593654442,0.03763402243460571], -471.426669
165, 18:14:39:44, [5.467203807636034,9.99999999,-3.360501593654442,0.03763402243460571], -471.426669
166, 18:14:39:44, [5.467203807636034,10.0,-3.360501583654442,0.03763402243460571], -471.426669
167, 18:14:39:44, [5.467203807636034,10.0,-3.360501593654442,0.03763403243460571], -471.426669
168, 18:14:39:44, [6.732944708614786,10.0,-5.073877419965098,0.1290993216722018], -476.610978
169, 18:14:39:44, [6.732944718614786,10.0,-5.073877419965098,0.1290993216722018], -476.610978
170, 18:14:39:44, [6.732944708614786,9.99999999,-5.073877419965098,0.1290993216722018], -476.610978
171, 18:14:39:44, [6.732944708614786,10.0,-5.073877409965098,0.1290993216722018], -476.610978
172, 18:14:39:44, [6.732944708614786,10.0,-5.073877419965098,0.1290993316722018], -476.610978
173, 18:14:39:44, [10.0,10.0,-10.0,-0.05084147811177628], -424.512402
174, 18:14:39:45, [9.99999999,10.0,-10.0,-0.05084147811177628], -424.512402
175, 18:14:39:45, [10.0,9.99999999,-10.0,-0.05084147811177628], -424.512402
176, 18:14:39:45, [10.0,10.0,-9.99999999,-0.05084147811177628], -424.512402
177, 18:14:39:45, [10.0,10.0,-10.0,-0.050841468111776277], -424.512402
178, 18:14:39:45, [6.845554536629159,10.0,-5.243672469953444,0.12289706896779444], -476.823518
179, 18:14:39:45, [6.845554546629159,10.0,-5.243672469953444,0.12289706896779444], -476.823518
180, 18:14:39:45, [6.845554536629159,9.99999999,-5.243672469953444,0.12289706896779444], -476.823518
181, 18:14:39:45, [6.845554536629159,10.0,-5.243672459953444,0.12289706896779444], -476.823518
182, 18:14:39:45, [6.845554536629159,10.0,-5.243672469953444,0.12289707896779443], -476.823518
183, 18:14:39:45, [6.34159620129065,10.0,-6.93430569144286,0.8394580183608946], -480.344984
184, 18:14:39:45, [6.34159621129065,10.0,-6.93430569144286,0.8394580183608946], -480.344984
185, 18:14:39:45, [6.34159620129065,9.99999999,-6.93430569144286,0.8394580183608946], -480.344984
186, 18:14:39:45, [6.34159620129065,10.0,-6.93430568144286,0.8394580183608946], -480.344984
187, 18:14:39:45, [6.34159620129065,10.0,-6.93430569144286,0.8394580283608947], -480.344984
188, 18:14:39:45, [5.605922779084833,10.0,-6.000296032579478,0.49835976269445426], -483.153773
189, 18:14:39:45, [5.605922789084833,10.0,-6.000296032579478,0.49835976269445426], -483.153773
190, 18:14:39:45, [5.605922779084833,9.99999999,-6.000296032579478,0.49835976269445426], -483.153773
191, 18:14:39:45, [5.605922779084833,10.0,-6.000296022579478,0.49835976269445426], -483.153773
192, 18:14:39:45, [5.605922779084833,10.0,-6.000296032579478,0.49835977269445425], -483.153773
193, 18:14:39:45, [5.926702769595726,10.0,-6.210104991775632,0.12291383446331366], -484.018624
194, 18:14:39:45, [5.926702779595726,10.0,-6.210104991775632,0.12291383446331366], -484.018624
195, 18:14:39:45, [5.926702769595726,9.99999999,-6.210104991775632,0.12291383446331366], -484.018624
196, 18:14:39:45, [5.926702769595726,10.0,-6.210104981775632,0.12291383446331366], -484.018624
197, 18:14:39:45, [5.926702769595726,10.0,-6.210104991775632,0.12291384446331366], -484.018624
198, 18:14:39:45, [5.838444333401331,10.0,-6.355362228049196,0.17631819514808938], -484.101198
199, 18:14:39:45, [5.838444343401331,10.0,-6.355362228049196,0.17631819514808938], -484.101198
200, 18:14:39:46, [5.838444333401331,9.99999999,-6.355362228049196,0.17631819514808938], -484.101198
201, 18:14:39:46, [5.838444333401331,10.0,-6.355362218049196,0.17631819514808938], -484.101198
202, 18:14:39:46, [5.838444333401331,10.0,-6.355362228049196,0.17631820514808938], -484.101198
203, 18:14:39:46, [5.835572107902567,10.0,-6.326057811330865,0.15808696193722693], -484.105257
204, 18:14:39:46, [5.835572117902567,10.0,-6.326057811330865,0.15808696193722693], -484.105257
205, 18:14:39:46, [5.835572107902567,9.99999999,-6.326057811330865,0.15808696193722693], -484.105257
206, 18:14:39:46, [5.835572107902567,10.0,-6.326057801330865,0.15808696193722693], -484.105257
207, 18:14:39:46, [5.835572107902567,10.0,-6.326057811330865,0.15808697193722693], -484.105257
208, 18:14:39:46, [5.836344055608308,10.0,-6.3269698285335485,0.15856045700383392], -484.105263
209, 18:14:39:46, [5.836344065608308,10.0,-6.3269698285335485,0.15856045700383392], -484.105263
210, 18:14:39:46, [5.836344055608308,9.99999999,-6.3269698285335485,0.15856045700383392], -484.105263
211, 18:14:39:46, [5.836344055608308,10.0,-6.326969818533549,0.15856045700383392], -484.105263
212, 18:14:39:46, [5.836344055608308,10.0,-6.3269698285335485,0.15856046700383392], -484.105263
213, 18:14:39:46, [5.836318776887178,10.0,-6.326971405601969,0.15856788781030967], -484.105263
214, 18:14:39:46, [5.836318786887178,10.0,-6.326971405601969,0.15856788781030967], -484.105263
215, 18:14:39:46, [5.836318776887178,9.99999999,-6.326971405601969,0.15856788781030967], -484.105263
216, 18:14:39:46, [5.836318776887178,10.0,-6.326971395601969,0.15856788781030967], -484.105263
217, 18:14:39:46, [5.836318776887178,10.0,-6.326971405601969,0.15856789781030967], -484.105263
218, 18:14:39:46, [0.0,-10.0,-10.0,0.0], -89.553970
219, 18:14:39:46, [1e-08,-10.0,-10.0,0.0], -89.553970
220, 18:14:39:46, [0.0,-9.99999999,-10.0,0.0], -89.553971
221, 18:14:39:46, [0.0,-10.0,-9.99999999,0.0], -89.553970
222, 18:14:39:46, [0.0,-10.0,-10.0,1e-08], -89.553970
223, 18:14:39:46, [9.1127049017814,10.0,-0.4431270983213409,1.112704239858431], -441.746537
224, 18:14:39:46, [9.112704911781401,10.0,-0.4431270983213409,1.112704239858431], -441.746537
225, 18:14:39:46, [9.1127049017814,9.99999999,-0.4431270983213409,1.112704239858431], -441.746537
226, 18:14:39:46, [9.1127049017814,10.0,-0.4431270883213409,1.112704239858431], -441.746537
227, 18:14:39:46, [9.1127049017814,10.0,-0.4431270983213409,1.112704249858431], -441.746537
228, 18:14:39:47, [6.195230851970023,10.0,-5.494322044337609,-0.9859130721547309], -476.432540
229, 18:14:39:47, [6.195230861970023,10.0,-5.494322044337609,-0.9859130721547309], -476.432540
230, 18:14:39:47, [6.195230851970023,9.99999999,-5.494322044337609,-0.9859130721547309], -476.432540
231, 18:14:39:47, [6.195230851970023,10.0,-5.494322034337609,-0.9859130721547309], -476.432540
232, 18:14:39:47, [6.195230851970023,10.0,-5.494322044337609,-0.9859130621547308], -476.432540
233, 18:14:39:47, [2.7405517506768167,10.0,-10.0,0.6278862650268542], -426.243278
234, 18:14:39:47, [2.7405517606768166,10.0,-10.0,0.6278862650268542], -426.243278
235, 18:14:39:47, [2.7405517506768167,9.99999999,-10.0,0.6278862650268542], -426.243278
236, 18:14:39:47, [2.7405517506768167,10.0,-9.99999999,0.6278862650268542], -426.243278
237, 18:14:39:47, [2.7405517506768167,10.0,-10.0,0.6278862750268542], -426.243278
238, 18:14:39:47, [5.682535165989181,10.0,-6.162992442529545,-0.7464152971220164], -480.843424
239, 18:14:39:47, [5.682535175989181,10.0,-6.162992442529545,-0.7464152971220164], -480.843424
240, 18:14:39:47, [5.682535165989181,9.99999999,-6.162992442529545,-0.7464152971220164], -480.843424
241, 18:14:39:47, [5.682535165989181,10.0,-6.162992432529545,-0.7464152971220164], -480.843424
242, 18:14:39:47, [5.682535165989181,10.0,-6.162992442529545,-0.7464152871220163], -480.843424
243, 18:14:39:47, [5.850539094929628,10.0,-6.126086141319554,0.6979934447686185], -483.089397
244, 18:14:39:47, [5.850539104929628,10.0,-6.126086141319554,0.6979934447686185], -483.089397
245, 18:14:39:47, [5.850539094929628,9.99999999,-6.126086141319554,0.6979934447686185], -483.089397
246, 18:14:39:47, [5.850539094929628,10.0,-6.126086131319554,0.6979934447686185], -483.089397
247, 18:14:39:47, [5.850539094929628,10.0,-6.126086141319554,0.6979934547686185], -483.089397
248, 18:14:39:47, [5.844744697260881,10.0,-6.415056006539584,0.26404279348060505], -484.039246
249, 18:14:39:47, [5.844744707260881,10.0,-6.415056006539584,0.26404279348060505], -484.039246
250, 18:14:39:47, [5.844744697260881,9.99999999,-6.415056006539584,0.26404279348060505], -484.039246
251, 18:14:39:47, [5.844744697260881,10.0,-6.415055996539584,0.26404279348060505], -484.039246
252, 18:14:39:47, [5.844744697260881,10.0,-6.415056006539584,0.26404280348060505], -484.039246
253, 18:14:39:47, [5.822595338234201,10.0,-6.293636085492096,0.10730280409034937], -484.091476
254, 18:14:39:47, [5.822595348234201,10.0,-6.293636085492096,0.10730280409034937], -484.091476
255, 18:14:39:47, [5.822595338234201,9.99999999,-6.293636085492096,0.10730280409034937], -484.091476
256, 18:14:39:47, [5.822595338234201,10.0,-6.293636075492096,0.10730280409034937], -484.091476
257, 18:14:39:48, [5.822595338234201,10.0,-6.293636085492096,0.10730281409034936], -484.091476
258, 18:14:39:48, [5.8363758221606306,10.0,-6.325918606498973,0.16056939205439982], -484.105246
259, 18:14:39:48, [5.8363758321606305,10.0,-6.325918606498973,0.16056939205439982], -484.105246
260, 18:14:39:48, [5.8363758221606306,9.99999999,-6.325918606498973,0.16056939205439982], -484.105246
261, 18:14:39:48, [5.8363758221606306,10.0,-6.3259185964989735,0.16056939205439982], -484.105246
262, 18:14:39:48, [5.8363758221606306,10.0,-6.325918606498973,0.16056940205439982], -484.105246
263, 18:14:39:48, [5.836361145114589,10.0,-6.32717535552372,0.158453601637889], -484.105263
264, 18:14:39:48, [5.836361155114589,10.0,-6.32717535552372,0.158453601637889], -484.105263
265, 18:14:39:48, [5.836361145114589,9.99999999,-6.32717535552372,0.158453601637889], -484.105263
266, 18:14:39:48, [5.836361145114589,10.0,-6.32717534552372,0.158453601637889], -484.105263
267, 18:14:39:48, [5.836361145114589,10.0,-6.32717535552372,0.15845361163788899], -484.105263
268, 18:14:39:48, [5.836317654651516,10.0,-6.3269690991041445,0.15856594015050124], -484.105263
269, 18:14:39:48, [5.836317664651516,10.0,-6.3269690991041445,0.15856594015050124], -484.105263
270, 18:14:39:48, [5.836317654651516,9.99999999,-6.3269690991041445,0.15856594015050124], -484.105263
271, 18:14:39:48, [5.836317654651516,10.0,-6.326969089104145,0.15856594015050124], -484.105263
272, 18:14:39:48, [5.836317654651516,10.0,-6.3269690991041445,0.15856595015050123], -484.105263
273, 18:14:39:48, [-10.0,0.0,-10.0,0.0], -129.553970
274, 18:14:39:48, [-9.99999999,0.0,-10.0,0.0], -129.553971
275, 18:14:39:48, [-10.0,1e-08,-10.0,0.0], -129.553970
276, 18:14:39:48, [-10.0,0.0,-9.99999999,0.0], -129.553970
277, 18:14:39:48, [-10.0,0.0,-10.0,1e-08], -129.553970
278, 18:14:39:48, [10.0,10.0,-0.4431270983213391,1.1127042398584313], -438.486002
279, 18:14:39:48, [9.99999999,10.0,-0.4431270983213391,1.1127042398584313], -438.486002
280, 18:14:39:48, [10.0,9.99999999,-0.4431270983213391,1.1127042398584313], -438.486002
281, 18:14:39:48, [10.0,10.0,-0.4431270883213391,1.1127042398584313], -438.486002
282, 18:14:39:48, [10.0,10.0,-0.4431270983213391,1.1127042498584312], -438.486002
283, 18:14:39:48, [8.890284036544264,10.0,-5.497981780136484,-1.0264905644445221], -456.267681
284, 18:14:39:48, [8.890284046544265,10.0,-5.497981780136484,-1.0264905644445221], -456.267681
285, 18:14:39:49, [8.890284036544264,9.99999999,-5.497981780136484,-1.0264905644445221], -456.267681
286, 18:14:39:49, [8.890284036544264,10.0,-5.497981770136484,-1.0264905644445221], -456.267681
287, 18:14:39:49, [8.890284036544264,10.0,-5.497981780136484,-1.0264905544445222], -456.267681
288, 18:14:39:49, [4.645794926032419,10.0,-10.0,-0.4851861168791518], -442.686627
289, 18:14:39:49, [4.645794936032419,10.0,-10.0,-0.4851861168791518], -442.686627
290, 18:14:39:49, [4.645794926032419,9.99999999,-10.0,-0.4851861168791518], -442.686627
291, 18:14:39:49, [4.645794926032419,10.0,-9.99999999,-0.4851861168791518], -442.686627
292, 18:14:39:49, [4.645794926032419,10.0,-10.0,-0.4851861068791518], -442.686627
293, 18:14:39:49, [7.250453846641487,10.0,-7.237306631775527,-0.8173611846923151], -470.368223
294, 18:14:39:49, [7.250453856641487,10.0,-7.237306631775527,-0.8173611846923151], -470.368223
295, 18:14:39:49, [7.250453846641487,9.99999999,-7.237306631775527,-0.8173611846923151], -470.368223
296, 18:14:39:49, [7.250453846641487,10.0,-7.237306621775527,-0.8173611846923151], -470.368223
297, 18:14:39:49, [7.250453846641487,10.0,-7.237306631775527,-0.8173611746923151], -470.368223
298, 18:14:39:49, [0.07275221822147948,10.0,-8.657081224848497,1.860130051933658], -423.613308
299, 18:14:39:49, [0.07275222822147948,10.0,-8.657081224848497,1.860130051933658], -423.613309
300, 18:14:39:49, [0.07275221822147948,9.99999999,-8.657081224848497,1.860130051933658], -423.613308
301, 18:14:39:49, [0.07275221822147948,10.0,-8.657081214848496,1.860130051933658], -423.613309
302, 18:14:39:49, [0.07275221822147948,10.0,-8.657081224848497,1.860130061933658], -423.613308
303, 18:14:39:49, [5.736186889591613,10.0,-7.536833954593845,-0.25249561667262577], -477.780875
